name,cuisines,area,timing,full_address,ishomedelivery,istakeaway,isindoorseating,isvegonly,dinner_ratings,dinner_reviews,delivery_ratings,delivery_reviews,knownfor,populardishes,peopleknownfor,averagecost
Hari Super Sandwich,"street food, fast food, sandwich","Basavanagudi, Bangalore",11am – 9:30pm (Today),"24/1, Police Station Road, Basavanagudi, Bangalore",1,1,1,1,3.0,46,3.9,4554,,,"Economical Price, Student Crowd, Elaborate Menu, Prices, Fresh Food, Good Quality",200
Karnataka Biryani Point,"biryani, south indian","Rajajinagar, Bangalore",11am – 11pm (Today),"67/2, 13th Cross, Srirampuram, Rajajinagar, Bangalore",1,1,1,0,3.5,32,4.2,2440,,,"Fresh Food, Good Quality, Quantity, Experience",250
Kailash Parbat,"chinese, north indian, street food, fast food, desserts, beverages","Sadashiv Nagar, Bangalore",11am – 10:30pm (Today),"381, 13th Cross, Sadashiv Nagar, Bangalore",1,1,1,0,3.3,35,4.1,2354,,,"Best in Service, Nice Concept, Clean and Hygienic Place, Timely Service, Great Portions, Delicious Food",1100
Upahara Darshini,"south indian, north indian, fast food, street food, ice cream, beverages, chinese","Jayanagar, Bangalore",7:30am – 10:30pm (Today),"9A Main Road, 3rd Block, Jayanagar, Bangalore",1,1,1,1,3.9,433,4.2,8304,,"Idli Sambar, Gobi Manchurian, Vada, Coffee","Pocket Friendly, Self Service, Great Recommendations, Reasonable Prices, Breakfast, Tasty",400
Akshaya Deluxe,"north indian, chinese, seafood, biryani, kebab","New BEL Road, Bangalore",12noon – 11pm (Today),"21, Indian Bank, Chickkamaranahalli, New BEL Road, Bangalore",1,1,1,0,4.1,420,4.1,17800,,,"Sevice and Food, Family Place, Tasty, Friendly Staff, Timely Service, Worth the Money",700
Malleshwaram Dosa Corner,south indian,"Malleshwaram, Bangalore",7:30am – 10pm (Today),"251, 17th Cross Road, Malleshwaram West, Malleshwaram, Bangalore",1,1,0,1,3.7,4,4.3,21700,,"Benne Khali Dosa, Aloo Palya, Dosa, Chutney","Bang for the Buck, Great Recommendations, Reasonable Prices, Breakfast, Proper Packaging, Worth the Money",150
Four Seasons Fast Food Center,"biryani, kebab, south indian","Malleshwaram, Bangalore",9am – 11pm (Today),"268/1, 18th Cross, Sampige Road, Malleshwaram, Bangalore",1,1,1,0,3.7,105,3.5,11700,,,,200
Sagar Hotel,"north indian, chinese, street food, beverages, shake","Rajajinagar, Bangalore",12:30pm – 11pm (Today),"1846/72, D Block, 4th Cross, 3rd Stage, Rajajinagar, Bangalore",1,1,1,1,4.4,1098,4.0,7264,,"Spicy Vada Pav, Fafda Jalebi, Tawa Pulav, Dabeli, Mango Milkshake, Misal Pav","Comfortable Seating Area, Family Place, Packed on Weekends, Good Value, Authentic Taste, Family Crowd",400
Chicken County Deluxe Restaurant,"north indian, chinese, mughlai, seafood, fast food, biryani, beverages","Majestic, Bangalore",11am – 11pm (Today),"25/16, Sharda Lodge Building, K.G Circle, Tank Bund Road, Majestic, Bangalore",1,1,1,0,3.1,80,4.2,981,,,,600
Asha Food Camp,"south indian, chinese, north indian, fast food, beverages","Malleshwaram, Bangalore",8am – 10:30pm (Today),"87, 1st Temple Street, 10th Cross, Sampige Road, Near Vijaya Bank, Malleshwaram, Bangalore",1,1,1,1,4.2,584,4.3,1279,,"Panneer Butter Masala, Gobi Manchurian, Sweets, Curry, Starters","Elegantly Decorated, South Indian Food, Reasonable Prices, Decent Place, Hygiene, Meals",600
Toscano,"italian, pizza, salad, continental, desserts, beverages","UB City, Bangalore",11am – 11pm (Today),"2nd Floor, UB City, Vittal Mallya Road, Near Lavelle Road, Bangalore",1,1,1,0,4.5,2056,3.8,699,Italian delicacies and varieties of wine,"Kahlua Mousse, Bruschetta Platter, Ravioli, Risotto, Pepperoni Pizza, Salmon","Outside Seating, Live Band, Live Music, Comfortable Seating Area, Relaxed Atmosphere, Serving Size",1200
Aubree,"fast food, italian, thai","Shivajinagar, Bangalore",Opens tomorrow at 9am,"307, Govinda Chetty Colony, Thimmaiah Road, Shivajinagar, Bangalore",1,1,1,0,2.5,19,4.5,184,,,,900
Shawarma Time,"lebanese, rolls, fast food","RT Nagar, Bangalore",11am – 12midnight (Today),"60, Muniswamappa Layout, JC Nagar, RT Nagar, Bangalore",1,1,0,0,3.5,35,3.8,2955,,,"Customizable Food, Fresh Food, Worth the Money, Good Quality, Experience",200
North Indian Bhukkads,"north indian, biryani, street food, beverages","Nagawara, Bangalore",8am – 11pm (Today),"2, Sri Dhatri Nivas, 3rd Floor, Opposite ManyataTech Park, Nagawara, Bangalore",1,1,1,0,4.1,255,3.8,7755,,"Paneer Mushroom Masala, Chole Bhature, Samosa, Gulab Jamun, Tandoori Chicken, Chicken Tikka","Simple Decor, Reasonable Prices, Prompt Service, Polite Staff, Seating Arrangement, View",800
La Heaven,"bakery, desserts","Malleshwaram, Bangalore",10:30am – 9:30pm (Today),"Abhishek Complex, 17th Cross, Sampige Road, Malleshwaram, Bangalore",1,1,1,0,3.9,141,4.2,2182,,,"Design, Cozy Place, Food Presentation, Worth the Money, Great Place, Quality",400
Bhartiya Jalpan,"north indian, street food, desserts, beverages","Commercial Street, Bangalore",9am – 10:30pm (Today),"14, Commercial Street, Bangalore",1,1,1,1,3.8,129,3.9,1757,,"Masala Pepsi, Kachori, Rasmalai, Chaat, Sweets","Comfortable Seating Area, Good Place, Price, Food",350
Karnataka Biryani Paradise,"biryani, north indian, kebab, afghan, chinese, tamil","Nagarbhavi, Bangalore",,"1/2, Sky Line City Apartment, Chandra Layout, 80 Feet Road Cross, Nagarbhavi, Bangalore",1,1,1,0,3.4,45,3.9,6049,,,"Nice Food, Good Taste, Good Food, Price",500
Gowdru Siri Mane Donne Biryani,"biryani, south indian","Peenya, Bangalore",24 Hours (Today),"57, Laggere Ring Road, Peenya, Bangalore",1,1,1,0,3.5,12,3.5,1015,,,,300
South Ruchis Square,"north indian, south indian, chinese, beverages, fast food, desserts, shake","Race Course Road, Bangalore",7:30am – 10:30pm (Today),"25, Madhava Nagar, Race Course Road, Bangalore",1,1,1,1,4.4,1442,4.0,1518,Serving Organic Food,"Mushroom Ghee Roast, Bonda Soup, Sunday Morning Breakfast, Kharabath, Filtered Coffee, South Indian Meals","Nice Location, Family Restaurant, Hygienic Food, Family Place, Healthy Food, Good Hospitality",800
Cafe Coffee Day,"cafe, fast food, desserts, beverages","MG Road, Bangalore",9am – 10pm (Today),"84, Barton Center, MG Road, Bangalore",1,1,0,0,3.0,55,3.3,19,,,,600
Sukh Sagar,"chinese, street food, fast food, desserts, beverages, shake","Majestic, Bangalore",8:28am – 10:27pm (Today),"10, 3rd Main Road, Gandhinagar, Majestic Area, Majestic, Bangalore",1,1,1,0,3.6,275,3.8,639,,,"Main Course, Good Place, Good Food, Ambiance, Service",450
Stop N Joy,"beverages, sandwich, fast food, burger, rolls","Vijay Nagar, Bangalore",10:30am – 10:30pm (Today),"22, 1st Main Road, Nirvana, Canara Bank Colony, Vijay Nagar, Bangalore",1,1,1,0,3.4,1,4.3,203,,,,300
Sendhoor Coffee,"south indian, beverages","Indiranagar, Bangalore",6am – 10:30pm (Today),"58, Ground Floor, 7th Main, HAL 2nd Stage, Indiranagar, Bangalore",1,1,1,1,4.0,170,3.8,2619,,"Filtered Coffee, Idli, Sambhar, Vada, Dosa","Cute Little Place, Pocket Friendly, Prompt Service, Worth the Money, Crowd, Price",200
Chikpet Donne Biriyani House,"south indian, biryani","Seshadripuram, Bangalore",11am – 11:58pm (Today),"119, 1st Main Road, Seshadripuram, Bangalore",1,0,1,0,3.0,6,4.1,508,,,,300
KC Das,"mithai, street food","St. Marks Road, Bangalore",10am – 7:30pm (Today),"48, St. Marks Road, Bangalore",1,1,1,1,3.9,395,3.4,901,,"Rossogolla, Sandesh, Aloo Puri, Bengali Sweets, Rasgullas, Kachori","Perfect Place, Location, Great Place, Good Place, Table, Quality",300
Punjabi Dhaba,"north indian, chinese, mughlai","Nagawara, Bangalore",9am – 4am (Today),"385,Ground Floor, Near Manyata Tech Park, Nagawara, Bangalore",1,1,1,0,2.6,59,3.2,2129,,,,350
Cream Stone,"ice cream, desserts, beverages, shake","Frazer Town, Bangalore",11am – 1am (Today),"61/64, M m road, Frazer town, Bengaluru",1,1,1,0,3.8,101,4.1,803,"High quality premium ice cream blends, homemade waffle bowls & cones, innovative recipes, a wide range of mix-ins.",,,300
Punjabi Dhaba,"north indian, chinese, mughlai","Majestic, Bangalore",12noon – 11pm (Today),"108/2, 6th Cross, Movieland Theatre, Opposite Janardhan Lodge, Majestic, Bangalore",1,1,1,0,3.7,99,3.9,393,,,"Pocket Friendly, Great Portions, Prices, Good Service, Good Food, Quality",500
The Thick Shake Factory,"beverages, shake","Frazer Town, Bangalore",10am – 9pm (Today),"15, St. John's Church Road, Cleveland Town, Bharatinagar, Frazer Town, Bangalore",1,1,1,0,3.7,5,3.7,545,,,,350
Sagar,"north indian, south indian, fast food, desserts, chinese, street food, shake, beverages","Seshadripuram, Bangalore",11am – 12midnight (Today),"30, Ground Floor, Nagappa Street, Nehru Circle, Seshadripuram, Bangalore",1,1,1,1,4.0,263,4.2,6677,,,"Efficient Service, Great Value, Family Crowd, Courteous Staff, Tasty Food, Great Service",700
Udupi Thindies,"south indian, chinese","Nagawara, Bangalore",6:30am – 10pm (Today),"Opposite Indira Irish Apartment, Thanisandra Main Road, Nagawara, Bangalore",1,1,1,1,3.5,19,3.8,2364,,,,200
Third Wave Coffee,"cafe, coffee, fast food, desserts, beverages","Lavelle Road, Bangalore",8am – 12midnight (Today),"2nd Floor, UB City, Vittal Mallya Road, KG Halli, D'Souza Layout, Sampangi Rama Nagara, Lavelle Road, Bangalore",1,1,1,0,4.0,147,4.3,137,,,"Good Options, Wonderful Presentation, Hospitality, Student Crowd, Young Crowd, Customizable Food",400
Sreeraj Lassi Bar,"beverages, shake, ice cream, desserts","Shanti Nagar, Bangalore",11:30am – 11:30pm (Today),"4/5, 5th Cross, Laxmi Road, Shanti Nagar, Bangalore",1,1,1,0,3.9,78,4.2,546,,,,300
Donne Biryani Hatti Mane,"biryani, south indian","Nagarbhavi, Bangalore",12:30pm – 11:30pm (Today),"4, 80 Feet Road, Nagarbhavi, Bangalore",1,1,1,0,3.7,117,4.1,9139,,"Chicken Ghee Roast, Kabab, Biryani, Chicken","Combo, Good Taste, Packing, Best Place, Good Service, Good Food",300
New Krishna Bhavan,"south indian, north indian, chinese","Malleshwaram, Bangalore",7:30am – 9pm (Today),"547/547-1, Sirur Park Road, Sheshadripuram, Malleshwaram, Bangalore",1,1,1,1,4.3,698,4.2,990,,"Idli Manchurian, Button Idli, Bonda Soup, Filtered Coffee, Neer Dosa, Masala Dosa","Pocket Friendly Restaurant, Authenticity, Family Restaurant, Great Recommendations, Breakfast, Reasonable Prices",300
The Purple Pan,"north indian, chinese","Rajajinagar, Bangalore","11:30am – 3:30pm, 6:30pm – 12:30am (Today)","2930/15, Wnd Cross, D Block, Near Kuvempu Metro Station, Rajajinagar, Bangalore",1,1,1,0,4.1,423,4.1,14900,,"Honey Chilli Potatoes, Chicken 65, Chilli Chicken, Tandoori Chicken, Butter Chicken, Rolls","Good Quality Food, Good Value, Great Value, Decent Place, Perfect Presentation, Decor",800
Kerala Food Club,"kerala, seafood","Koramangala 8th Block, Bangalore",11:30am – 12midnight (Today),"8, Ground Floor, 2nd Main Road, Nanjappa Layout, Addugodi, Near Koramangala 8th Block, Bangalore",1,1,1,0,3.9,97,4.1,4056,,,"Customizations Available, Inexpensive, Comfort Food, Economical, Good Portions, Polite Staff",500
Sri Rajarajeshwari Iyer Mess,south indian,"Malleshwaram, Bangalore",Opens at 7:30pm,"87, Near BSNL Office, Margosa Road, Malleshwaram, Bangalore",1,1,1,0,3.8,23,4.3,606,,,"Food Quality, Fresh Food, Value for Money, Packaging",250
Shuchi Ruchi,"chinese, north indian, south indian, street food, fast food","Malleshwaram, Bangalore",7:45am – 10:25pm (Today),"84/1, 10th Cross, Temple Road, Malleshwaram, Bangalore",1,1,0,1,4.0,366,4.0,7911,,"Masala Poori, Benne Dosa, Noodle, Masala Dosa","Great Recommendations, Polite Staff, Tasty, Chef, Good Taste, Crowd",400
Kolkata No.1 Katti Rolls,"rolls, momos","Hebbal, Bangalore",12noon – 11:30pm (Today),"Near Big Bazaar, Outer Ring Road, Badrappa Layout, Hebbal, Bangalore",1,1,1,0,3.3,6,4.0,1302,,,,150
Mini Samrat,"south indian, north indian, chinese, desserts, ice cream, beverages","Vasanth Nagar, Bangalore",6:47am – 10:25pm (Today),"16/A, Miller Tank Bund Road, Vasanth Nagar, Bangalore",1,1,1,0,3.5,15,3.9,826,,,"Awesome Spot to Hangout, Food Presentation, Elaborate Menu, Customizable Food, Worth the Money, Great Portions",350
Savi Sagar,"north indian, south indian, chinese, street food, shake, biryani, juices, ice cream","Seshadripuram, Bangalore",7am – 10:30pm (Today),"186/2, SC Road, Near Natraj Theater, Seshadripuram, Bangalore",1,1,1,0,3.6,118,4.0,9954,,,,350
New Prashanth Hotel,south indian,"Basavanagudi, Bangalore",,"13, Mallesh Complex, Puttana Road, Gandhi Bazar Main Road, Basavanagudi, Bangalore",1,1,1,0,3.8,103,4.2,375,,,"Prices, Quantity, Service, Taste",500
Udupi Vaibhav,"south indian, north indian, chinese, beverages, street food, ice cream, shake, fast food","Sahakara Nagar, Bangalore",6:30am – 11pm (Today),"14, Balajij Layout, Tata Nagar, Kodigehalli Main Road, Sahakara Nagar, Bangalore",1,1,1,0,3.5,4,4.1,691,,,,400
Halli Mane,"south indian, north indian, chinese","Malleshwaram, Bangalore",6:30am – 10:30pm (Today),"3rd Cross, Sampige Road, Malleshwaram, Bangalore",1,1,1,1,4.1,1303,4.0,3301,Creating the village feel with delicious food.,"Akki Rottis, Filtered Coffee, Masala Dosa, Vada, Sweets, Idli","Bang for the Buck, Casual Seating Area, Pocket Friendly, Authentic Food, South Indian Food, Polite Staff",250
Udupi Ruchi,"south indian, north indian, chinese, street food, beverages, shake","Rajajinagar, Bangalore",7am – 10pm (Today),"793/1, 17th E Main, 59th Cross, 5th Block, Rajajinagar, Bangalore",1,1,1,1,3.5,86,4.0,10100,,,,450
Brik Oven,"cafe, fast food, italian, desserts, beverages","Church Street, Bangalore",11am – 11:30pm (Today),"19, Brigade Garden, Shanti Nagar, Church Street, Bangalore",1,1,1,0,4.8,2803,4.1,769,pizzas and milkshakes,"Big Bang Shake, Cookie Monster Shake, Shrooms Pizza, Chocolate Raspberry, Nutty Professor, Margherita Cheese Pizza","Bigger Space, Romantic Seating, Fresh Ingredients, Cosy Place, Comfortable Seating, Cozy",1000
Prakriti Delux,"north indian, chinese, biryani, south indian, beverages","Rajajinagar, Bangalore",12noon – 11pm (Today),"307, 9th Main Road, 4th Block, Rajajinagar, Bangalore",1,1,1,0,3.4,122,4.1,13700,,,,400
Have More,"north indian, chinese, beverages","New BEL Road, Bangalore",11am – 11pm (Today),"1, Prem Prasad Complex, 3rd Floor, Opposite Ramaiah Hospital, New BEL Road, Bangalore",1,1,1,0,3.9,555,3.9,2769,,"Tawa Chicken, Afghani Chicken, Mango Lassi, Authentic Punjabi Food, Garlic Naan, Paneer Butter Masala","Relaxed Atmosphere, Authenticity, Cleanliness, Owner, Best Places, Decent Place",700
Polamma's Mess,"andhra, biryani, south indian","BTM, Bangalore",11:30am – 10:25pm (Today),"67/2, Near Christ University, 2nd Cross, C.L. Layout, Adugodi, BTM, Bangalore",1,1,1,0,4.1,213,4.2,1580,,,"Meals, Prices, Nice Place, Fresh Food, Ambiance, Delicious Food",300
Shanthi Sagar Grand,"south indian, chinese, north indian, biryani, street food, ice cream, beverages","Malleshwaram, Bangalore",7am – 11pm (Today),"324, JP Point, Sampige Road, Vyalikaval, Near Sai Baba Temple, Malleshwaram, Bangalore",1,1,1,1,3.0,32,4.0,385,,,,500
Gulbarga Refreshment,south indian,"Rajajinagar, Bangalore",Opens at 7pm,"62/1, 2 Block, 12 Main, Opposite Post Office, Rajajinagar, Bangalore",1,1,1,1,3.6,30,4.0,1642,,,,300
Gundappa Donne Biryani,"biryani, south indian","Seshadripuram, Bangalore",11am – 11:30pm (Today),"120/1, 1st Main Road, S R Nagar, Seshadripuram, Bangalore",1,1,1,0,3.6,222,3.9,1821,,,,300
Punjabi Chulha,north indian,"Nagawara, Bangalore","12midnight – 4am, 9am – 12midnight (Today)","374, Near Prithvi Theatre, 1st Cross, H Narayanapa Block, Nagawara, Bangalore",1,1,1,0,2.7,53,3.4,4036,,,,500
Hotel Fanoos,"rolls, biryani, fast food, arabian","Richmond Town, Bangalore",12noon – 12midnight (Today),"42/2, Serpentins Street, Richmond Town, Bangalore",1,1,1,0,4.1,835,3.8,2998,"Value for money, mouth watering rolls.","Beef Shwarma, Beef Rolls, Sheek Roll, Jumbo Roll, Haleem, Kababs","Cleanliness, Best Places, Student Crowd, Great Taste, Prices, Portion",500
Sikori,"north indian, chinese, street food, fast food, desserts, beverages","Kalyan Nagar, Bangalore",9:30am – 10:30pm (Today),"409, 2nd Block, 5th Main, HRBR Layout, Kalyan Nagar, Bangalore",1,1,1,1,4.2,570,4.0,3857,,"Bun Tikki, Makke Di Roti Te Sarso Da Saag, Paneer Patiala, Club Kachori, Rajasthani Thali, Dhokla","Economical, Casual Seating Area, Decorations, Great Recommendations, Lovely Place, Prompt Service",900
Karavali Lunch Home,"seafood, mangalorean","Malleshwaram, Bangalore",11am – 10:30pm (Today),"147, 7th Cross, 3rd Main, Margosa Road, Malleshwaram, Bangalore",1,1,1,0,4.0,177,3.9,6940,,"Anjal Tava Fry, Fish Rava Fry, Kori Roti, Chicken Sukka, Neer Dosa, Fish Curry",,400
Sweet Chariot Cafe,"bakery, desserts, fast food","Residency Road, Bangalore",9:30am – 10pm (Today),"15/2, Near Bishop Cotton's Boys School, Residency Road, Bangalore",1,1,1,0,3.2,113,4.1,790,,,,500
Church Street Social,"north indian, chinese, biryani, pizza, salad, kebab, desserts, beverages","Church Street, Bangalore",9am – 1am (Today),"46/1, Cobalt Building, Haridevpur, Shanthala Nagar, Church Street, Bangalore",1,1,1,0,4.4,7997,4.0,825,Their Innovative drinks. A fusion of science and alcohol.,"Crispy Sesame Honey Chilli Fries, Taco Soup, Jalapeno Cheese Nads, Gunpowder Calamari, Breakfast Tray, Bombay Bhel","Fairly Priced Beers, No Cover Charge, Variety of Selection, Serving Style, Awesome Location, Great Hangout Place",1500
Lulu Hypermarket,"arabian, north indian, south indian, salad, fast food, beverages","Rajajinagar, Bangalore",10:30am – 10:30pm (Today),"19/2, CTS 2, Mysore Deviation, Gopalapura, Rajajinagar, Bangalore",1,1,1,0,3.9,9,3.8,492,,,"Elaborate Menu, Delicious Food, Good Quality, Taste",700
Donne Biryani House,"biryani, south indian","Shanti Nagar, Bangalore",Opens on Monday at 11:30am,"119/1.119/2, 4th Cross, Lalbagh Road, Shanti Nagar, Bangalore",1,1,1,0,3.3,4,4.0,137,,,,400
N.V. Naidu Hotel,"biryani, north indian","City Market, Bangalore",7:30am – 10pm (Today),"Kalasipalya New Extension, Old Tharagupet, Opposite Parimala Theatre, City Market, Bangalore",1,1,1,0,3.8,68,4.0,27,,,,300
HVR Veg,south indian,"Seshadripuram, Bangalore","7:30am – 12:30pm, 4pm – 9:30pm (Today)","162/1, 1st Main, Kumara Park West, Seshadripuram, Bangalore",1,1,1,1,4.1,161,4.1,442,,"Kali Dosa, Vada, Idli, Chutney, Coffee","Inexpensive, Food Service, Polite Staff, Crowd, Value for Money, Price",150
Shiv Shankar Chaats,"street food, chinese","Frazer Town, Bangalore",4:30pm – 10pm (Today),"13, 10th Cross, 5th Main, Jayamahal Extension, Benson Town Post, Frazer Town, Bangalore",1,1,0,1,3.8,33,3.8,592,,,,150
Karnataka Bhel House,"street food, ice cream","Basavanagudi, Bangalore",4:30pm – 10:30pm (Today),"6,  2nd Main, 3rd Cross, Chamrajpet, Basavanagudi, Bangalore",1,1,0,0,4.2,501,4.4,3084,A significant contender among the 'Chaat' giants.,"Masala Poori, Bhel Puri, Dahi Puri, Chaat","Cleanliness, Fast Service, Quick Service, Best Place, Good Place, Quantity",100
Paakashala,"south indian, street food, chinese, fast food, ice cream, beverages","Malleshwaram, Bangalore",7am – 10pm (Today),"598, Sampige Road, 15th Cross Road, Malleshwaram, Bangalore",1,1,1,0,4.0,176,4.2,5431,,,"Hygiene, Family Crowd, Elaborate Menu, Food Presentation, Customizable Food, Timely Service",250
McDonald's,"burger, beverages, fast food, desserts","Orion Mall, Malleshwaram, Bangalore",10:30am – 10:30pm (Today),"3rd Floor, Food Court, Orion Mall, Brigade Gateway, Dr Rajkumar Road, Malleshwaram, Bangalore",1,1,0,0,3.0,274,4.0,3424,,"Caramel Frappe, Peri Peri Fries, Fries, Burgers","Bang for the Buck, Office Crowd, Cute Little Place, Great Recommendations, Great Place, Ambience",400
KFC,"burger, fast food, biryani, desserts, beverages","Mantri Square, Malleshwaram, Bangalore",11am – 11pm (Today),"Upper Ground Floor, Mantri Square, Sampige Road, Malleshwaram, Bangalore",1,1,1,0,4.0,289,3.8,4523,,,"Good Taste with Good Quality, Sitting Area, Food Presentation, Good Place, Nice Place, Quality",500
Polar Bear,"ice cream, beverages, shake","Malleshwaram, Bangalore",10am – 2am (Today),"1/1, 14th Cross, Sampige Road, Near Sai Baba Temple, Malleshwaram, Bangalore",1,1,1,1,3.9,215,4.4,4210,,,"Hygiene, Good Place, Nice Place, Ambiance, Quantity, Staff",350
Vijayalakshmi Veg,"south indian, chinese, north indian","Malleshwaram, Bangalore",7am – 10pm (Today),"24/2, 3rd Main, 10th Cross, Margosa Road, Malleshwaram, Bangalore",1,1,1,1,3.4,48,4.0,5099,,,,300
Ambur Darbar Biriyani Point,"biryani, kebab","Yeshwantpur, Bangalore",11am – 11pm (Today),"25/4C, 7th Cross, Triveni Road, BBMP North, Yeshwantpur, Bangalore",1,1,0,0,3.1,41,3.9,6843,,,,200
Wok Chow,"chinese, thai, momos","New BEL Road, Bangalore",11am – 10:30pm (Today),"102, 6/3, Ground Floor, Koncept Comfort, 1st Cross, Mathikere, Near Ramaiah College Gate 11, New BEL Road, Bangalore",1,1,1,0,3.8,173,4.1,19000,,"Drums of Heaven, Hakka Noodles, Momo, Chicken Fried Rice, Soups, Chilli Chicken","Great Recommendations, Chef, Reasonable Price, Packing, Worth the Money, Spicy",300
Pizza Hut,"pizza, fast food, desserts, beverages","Mantri Square, Malleshwaram, Bangalore","12midnight – 1am, 10am – 12midnight (Today)","3rd Floor, Mantri Square, Sampige Road, Malleshwaram, Bangalore",1,1,1,0,3.6,667,3.5,2485,Pan Pizzas,"Tandoor Paneer Pizza, Chilli Cheese, Pasta, Salad","Themed Decor, Relaxed Atmosphere, Good Service Good Quality, Comfortable Seating Area, Friendly Service, Packed on Weekends",400
Nandhana Palace,"biryani, andhra, north indian, chinese, mughlai, south indian, desserts, beverages","Rajajinagar, Bangalore",11am – 1am (Today),"1, 5th Main, West of Chord Road, Shivanagar, Rajajinagar, Bangalore",1,1,1,0,4.1,1192,4.0,9852,,"Mutton Nalli, Chicken Kshatriya, Bamboo Chicken, Mutton Pepper Fry, Starter, Soup","Best Hotel, Cashless Payments, Service is Great, Good Quality Food, Family Restaurant, Family Place",800
A2B - Adyar Ananda Bhavan,"south indian, fast food, street food, ice cream, beverages, north indian, chinese","Malleshwaram, Bangalore",7am – 10:30pm (Today),"57, 6th Cross, Sampige Road, Malleshwaram, Bangalore",1,1,1,0,2.5,100,4.1,1512,,,,800
Nandhini Deluxe,"andhra, biryani, chinese, north indian, mughlai, desserts, beverages","Sankey Road, Bangalore",11am – 11:30pm (Today),"19, 2nd Floor, Guttahalli Palace, B.B.M.P North, Sankey Road, Bangalore",1,1,1,0,4.1,680,4.0,8290,,"Spicy Chilli Chicken, Chicken Guntur, Tandoori Roti, Ghee Rice, Chicken Biriyani, Buffet","Good with Reasonable Price, Keto Options, Great Buffet Spread, Nice Location, Excellent Hospitality, Good for Large Groups",700
Priyadarshini Grand,"south indian, street food, ice cream, desserts, beverages, shake","Basaveshwara Nagar, Bangalore",7am – 10pm (Today),"315, 3rd Stage, 4th Block, Siddhaiah Puranika Road, Basaveshwara Nagar, Bangalore",1,1,1,0,4.2,626,4.3,22900,,"Sagu Masala Dosa, Bonda Soup, Bhel Puri, Paneer Butter Masala, Tea","Casual Seating Area, Inexpensive, Cute Little Place, Great Recommendations, Prompt Service, Breakfast",300
Kadak Biryanis & Grill,"north indian, chinese, seafood","New BEL Road, Bangalore",11am – 11pm (Today),"38, HMT Main Road, Gokula 1st Stage, Near Sandeep Aluminium, Mathikere, New BEL Road, Bangalore",1,1,1,0,2.7,15,3.7,5625,,,,500
New Samrat Restaurant,"north indian, south indian, chinese, fast food, street food, beverages, ice cream, desserts","Seshadripuram, Bangalore",8:30am – 9:30pm (Today),"173/1, Opposite Nataraj Theatre, S.C Road, Seshadripuram, Bangalore",1,1,1,0,3.9,83,3.8,216,,,,500
Burger King,"burger, fast food, beverages, desserts","Mantri Square, Malleshwaram, Bangalore",10am – 11pm (Today),"49, Ground Floor, Mantri Square, Sampige Road, Malleshwaram, Bangalore",1,1,1,0,4.0,611,4.1,8148,"High-quality, great-tasting and affordable Burgers.","French Fry, Chocolate Shake, Burgers, Wings","Combos, Fast Service, Nice Taste, Environment, Good Music, Good Taste",400
Leon Grill,"burger, fast food, wraps, street food, desserts, beverages","Rajajinagar, Bangalore",11am – 11pm (Today),"722, Savitru Eligance, Dr. Modi Road, West of Chord Road, 2nd Stage, Rajajinagar, Bangalore",1,0,1,0,3.0,18,4.2,3825,,,"Great Food, Worth the Money, Good Quality, Taste",400
Onesta,"fast food, pizza, pasta, desserts, beverages","Basaveshwara Nagar, Bangalore",10am – 3am (Today),"706, Third Floor, W.C.R, Second Stage, 9th Cross, Basaveshwara Nagar, Bangalore",1,1,1,0,4.3,1350,3.8,12200,,"Tandoor Paneer Pizza, Chocolate Banana, Bbq Pizza, Chicken Tikka, Pizzas, Pastas","Great Recommendations, Good Server, Excellent Packaging, Gastronomical Experience, Good Quality Food, Great Value",600
Kanti Sweets,"mithai, street food, desserts","Malleshwaram, Bangalore",9:30am – 10pm (Today),"227/1, Sampige Road, Opposite Sri Saibaba Mandir, Malleshwaram, Bangalore",1,1,1,0,3.8,59,4.3,2698,,,,400
Five Star Chicken,"wraps, burger, rolls, fast food, street food","Sadashiv Nagar, Bangalore",11am – 11pm (Today),"68, 2nd Main, Vyalikaval Main Road, Near ICICI Bank, Sadashiv Nagar, Bangalore",1,1,1,0,3.0,25,4.2,462,,,,400
Thalassery Restaurant,"kerala, south indian, seafood, north indian, chinese, arabian, beverages, shake","Yeshwantpur, Bangalore",8am – 12midnight (Today),"3, Ground Floor, 1st Cross, M S Ramaiah Industrial Estate, Mathikere, Yeshwantpur, Bangalore",1,1,1,0,3.8,372,3.7,6013,One of a kind Kerala Cuisine,,"Good Value, Young Crowd, Portion, Best Place, Price, Quantity",800
Kritunga Restaurant,"andhra, biryani, north indian","Sahakara Nagar, Bangalore",Opens at 7pm,"2750, E Block, International Airport Road, Sahakara Nagar, Bangalore",1,1,1,0,3.9,553,3.9,12300,,"Gutti Vankaya, Bamboo Chicken, Spicy Food, Veg Biryani, Raita, Lassi","Boneless Chicken Biryani, Family Place, Good Quantity, Waiter, Hygiene, Good Taste",800
Biriyani Zone,"biryani, chinese, north indian, ice cream, beverages","Sahakara Nagar, Bangalore","11:30am – 3:30pm, 6:30pm – 11pm (Today)","850/2, D Block, Sai Sumukh, Sahakara Nagar, Bangalore",1,1,1,0,3.7,9,4.2,1271,,,,500
